epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.238,1.54233,1.35276,1.23111,0.77481,0.73232,0.70616,0.38219,1.00715,0.91064,1.0173,0.00332569,0.00332569,0.00332569
2,502.038,1.47271,0.88687,1.16398,0.68624,0.731,0.71123,0.3841,1.07208,0.71298,1.06816,0.00662606,0.00662606,0.00662606
3,749.973,1.47222,0.90781,1.16966,0.65919,0.63913,0.6312,0.32957,1.19575,1.29111,1.15179,0.00989343,0.00989343,0.00989343
4,994.154,1.48865,0.92115,1.18095,0.72196,0.69086,0.69298,0.3508,1.13765,1.02523,1.10441,0.0098515,0.0098515,0.0098515
5,1241.24,1.48479,0.86381,1.18126,0.67487,0.69567,0.64597,0.34924,1.21595,1.81218,1.18445,0.009802,0.009802,0.009802
6,1486.68,1.45187,0.82563,1.17842,0.76571,0.71419,0.74158,0.39221,1.09519,0.73444,1.081,0.0097525,0.0097525,0.0097525
7,1730.22,1.43641,0.80436,1.16822,0.79139,0.72164,0.72923,0.38618,1.07497,0.84082,1.07884,0.009703,0.009703,0.009703
8,1978.19,1.42892,0.77664,1.18095,0.75126,0.61972,0.63729,0.35212,1.16958,2.06455,1.13989,0.0096535,0.0096535,0.0096535
9,2222.31,1.42324,0.75464,1.17281,0.83234,0.75098,0.75797,0.4177,1.00196,0.65987,1.03289,0.009604,0.009604,0.009604
10,2470.32,1.41213,0.74742,1.17236,0.79939,0.72792,0.75709,0.42341,0.98876,0.6752,1.02649,0.0095545,0.0095545,0.0095545
11,2718.63,1.40278,0.74993,1.16682,0.85348,0.75008,0.77161,0.43774,0.96397,0.6629,1.02479,0.009505,0.009505,0.009505
12,2965.47,1.38985,0.73518,1.16571,0.83095,0.74538,0.77187,0.43258,0.98461,0.69947,1.03777,0.0094555,0.0094555,0.0094555
13,3208.46,1.38529,0.72565,1.15879,0.85966,0.7605,0.77026,0.44334,0.95787,0.60576,1.01804,0.009406,0.009406,0.009406
14,3452.95,1.37213,0.71739,1.15708,0.85117,0.75795,0.76665,0.44079,0.95497,0.65004,1.02085,0.0093565,0.0093565,0.0093565
15,3697.94,1.38459,0.71102,1.16045,0.81072,0.75183,0.75694,0.42812,0.9555,0.62673,1.02544,0.009307,0.009307,0.009307
16,3946.16,1.36693,0.72616,1.15758,0.8656,0.749,0.7686,0.44268,0.92789,0.6091,1.00948,0.0092575,0.0092575,0.0092575
17,4191.87,1.34994,0.70073,1.14572,0.84796,0.76623,0.78207,0.44768,0.9181,0.61027,1.00939,0.009208,0.009208,0.009208
18,4440.02,1.35038,0.69645,1.15132,0.85769,0.73415,0.76969,0.44382,0.93278,0.60636,1.00588,0.0091585,0.0091585,0.0091585
19,4685.08,1.34168,0.68701,1.14789,0.8595,0.77308,0.78369,0.45181,0.92368,0.60199,1.00534,0.009109,0.009109,0.009109
20,4930.57,1.34773,0.69285,1.14751,0.81598,0.73311,0.74313,0.43261,0.91717,0.60954,0.99847,0.0090595,0.0090595,0.0090595
21,5181.86,1.33312,0.69165,1.1457,0.78736,0.77255,0.79377,0.45622,0.92276,0.59352,1.0031,0.00901,0.00901,0.00901
22,5429.39,1.32876,0.68619,1.13172,0.86804,0.75683,0.83751,0.47417,0.91075,0.57435,1.00139,0.0089605,0.0089605,0.0089605
23,5675.99,1.31971,0.68462,1.13792,0.87629,0.75268,0.80552,0.46237,0.90821,0.59196,0.99685,0.008911,0.008911,0.008911
24,5922.18,1.32388,0.67772,1.13828,0.84627,0.75194,0.79778,0.46299,0.88765,0.59051,0.98848,0.0088615,0.0088615,0.0088615
25,6169.04,1.31059,0.66914,1.13369,0.84068,0.76665,0.78585,0.46196,0.8885,0.60171,0.98996,0.008812,0.008812,0.008812
26,6417.25,1.30339,0.66371,1.12832,0.87019,0.75711,0.81188,0.4738,0.89965,0.57874,0.99112,0.0087625,0.0087625,0.0087625
27,6662.57,1.30868,0.67043,1.12765,0.87853,0.75496,0.83364,0.4869,0.87988,0.56424,0.9811,0.008713,0.008713,0.008713
28,6908.68,1.31471,0.66989,1.12702,0.87237,0.75944,0.85341,0.49973,0.89076,0.5755,0.98361,0.0086635,0.0086635,0.0086635
29,7153.23,1.30432,0.65908,1.12879,0.74183,0.76634,0.82166,0.47766,0.88131,0.84642,0.98255,0.008614,0.008614,0.008614
30,7402.51,1.30934,0.66092,1.12703,0.82447,0.80253,0.85215,0.49947,0.87983,0.5708,0.98412,0.0085645,0.0085645,0.0085645
31,7649.64,1.30535,0.66307,1.12144,0.83879,0.763,0.83495,0.49793,0.87604,0.61661,0.98335,0.008515,0.008515,0.008515
32,7894.82,1.27824,0.65372,1.12048,0.77756,0.8309,0.85476,0.50761,0.8676,0.57483,0.98094,0.0084655,0.0084655,0.0084655
33,8140.41,1.28153,0.65556,1.11665,0.75459,0.84872,0.82688,0.49236,0.87566,0.60649,0.98105,0.008416,0.008416,0.008416
34,8387.92,1.2767,0.65055,1.11697,0.7484,0.84075,0.83498,0.49501,0.85977,0.58426,0.9754,0.0083665,0.0083665,0.0083665
35,8636.31,1.28263,0.65581,1.12325,0.83921,0.76282,0.83698,0.50152,0.85574,0.5429,0.97682,0.008317,0.008317,0.008317
36,8886.2,1.27434,0.64491,1.11312,0.78343,0.85008,0.84058,0.49832,0.85956,0.57446,0.97627,0.0082675,0.0082675,0.0082675
37,9132.63,1.27224,0.64245,1.11166,0.78369,0.80704,0.83272,0.49302,0.86802,0.58565,0.97668,0.008218,0.008218,0.008218
38,9379.89,1.26341,0.64695,1.1115,0.8144,0.8424,0.86616,0.50625,0.86245,0.53885,0.97722,0.0081685,0.0081685,0.0081685
39,9629.2,1.26952,0.6399,1.10978,0.78698,0.82549,0.8536,0.50876,0.85893,0.56021,0.97637,0.008119,0.008119,0.008119
40,9873.86,1.26315,0.63521,1.11291,0.77937,0.87057,0.85932,0.52037,0.84467,0.5476,0.96898,0.0080695,0.0080695,0.0080695
41,10118.5,1.27223,0.63324,1.11255,0.80653,0.82102,0.86033,0.52001,0.83822,0.55258,0.96551,0.00802,0.00802,0.00802
42,10362.4,1.26465,0.63477,1.11497,0.78274,0.82885,0.86004,0.51188,0.84768,0.53989,0.96629,0.0079705,0.0079705,0.0079705
43,10609.3,1.2621,0.63414,1.10602,0.76245,0.83942,0.86413,0.51951,0.85551,0.5341,0.97349,0.007921,0.007921,0.007921
44,10856.5,1.26356,0.63952,1.10629,0.78922,0.84284,0.8639,0.5212,0.84571,0.53531,0.97088,0.0078715,0.0078715,0.0078715
45,11103.3,1.24519,0.63245,1.10298,0.76399,0.8549,0.87664,0.53105,0.84702,0.53648,0.96873,0.007822,0.007822,0.007822
46,11348.2,1.25759,0.6223,1.10254,0.78273,0.84597,0.8655,0.52572,0.83581,0.54786,0.96501,0.0077725,0.0077725,0.0077725
47,11595.7,1.25525,0.62475,1.10023,0.81252,0.83267,0.8692,0.52432,0.83696,0.53958,0.96799,0.007723,0.007723,0.007723
48,11846.8,1.23244,0.62815,1.10654,0.77731,0.86031,0.87713,0.5273,0.83996,0.54258,0.96955,0.0076735,0.0076735,0.0076735
49,12093,1.25611,0.62956,1.10264,0.78573,0.84436,0.86192,0.52095,0.8254,0.52891,0.96159,0.007624,0.007624,0.007624
50,12340.8,1.24152,0.61976,1.09819,0.80093,0.79901,0.86258,0.53037,0.83122,0.53701,0.96413,0.0075745,0.0075745,0.0075745
51,12588.4,1.2374,0.61627,1.09953,0.7649,0.82997,0.85608,0.52496,0.83703,0.54396,0.96323,0.007525,0.007525,0.007525
52,12838.2,1.2441,0.62358,1.10109,0.7869,0.85579,0.86301,0.52395,0.82507,0.53489,0.96185,0.0074755,0.0074755,0.0074755
53,13084.4,1.23484,0.61602,1.09746,0.89876,0.75935,0.86751,0.52912,0.82152,0.51623,0.96166,0.007426,0.007426,0.007426
54,13333.5,1.23379,0.61543,1.09852,0.87435,0.75972,0.85345,0.52077,0.82524,0.52956,0.9615,0.0073765,0.0073765,0.0073765
55,13578.7,1.22905,0.61647,1.09813,0.77929,0.83581,0.86449,0.52425,0.8365,0.52318,0.96246,0.007327,0.007327,0.007327
56,13827.2,1.22718,0.61646,1.09631,0.77767,0.83342,0.85958,0.52666,0.82848,0.54629,0.96212,0.0072775,0.0072775,0.0072775
57,14075.6,1.21854,0.61232,1.08869,0.76895,0.83126,0.87141,0.53358,0.82258,0.518,0.96136,0.007228,0.007228,0.007228
58,14322.5,1.22241,0.61785,1.09007,0.87505,0.75964,0.86963,0.53386,0.81383,0.51855,0.95783,0.0071785,0.0071785,0.0071785
59,14567.8,1.22765,0.60405,1.08975,0.7858,0.83522,0.86367,0.53416,0.80765,0.51063,0.95376,0.007129,0.007129,0.007129
60,14819.2,1.22503,0.61262,1.09462,0.7788,0.84195,0.86672,0.53283,0.81953,0.52505,0.95786,0.0070795,0.0070795,0.0070795
61,15063.8,1.21631,0.61671,1.09837,0.76261,0.86132,0.85993,0.53129,0.81172,0.52946,0.95724,0.00703,0.00703,0.00703
